Solidity-File;Contract-Name;Function-Name;SLOC;Avg-Assignment;Avg-blank-lines;Avg-commas;Avg-comments;Avg-comparisons;Avg-Identifiers-Length;Avg-conditionals;Avg-indentation-length;Avg-keywords;Avg-line-length;Avg-loops;Avg-number-of-identifiers;Avg-numbers;Avg-operators;Avg-parenthesis;Avg-periods;Avg-spaces;Max-Identifiers-Length;Max-indentation;Max-keywords;Max-line-length;Max-number-of-identifiers;Max-numbers;Max-char;Max-words
25456.sol;Router;();22;0,13636363636363635;0,09090909090909091;0,6818181818181818;0,0;0,0;9,333333333333334;0,0;9,75;0,09090909090909091;36,6875;0,0;1,2272727272727273;0,2727272727272727;0,0;1,4545454545454546;0,0;9,909090909090908;14;14;2;73;27;6;56;4
25456.sol;Authorized;ifAuthorized;6;0,0;0,3333333333333333;0,16666666666666666;0,0;0,0;8,375;0,0;5,5;0,0;42,75;0,0;1,3333333333333333;0,0;0,0;1,0;0,0;4,833333333333333;14;7;0;88;8;0;12;2
25456.sol;Authorized;isAuthorized;5;0,0;0,4;0,2;0,0;0,0;10,666666666666666;0,0;5,0;0,4;50,666666666666664;0,0;0,6;0,0;0,0;1,2;0,0;5,0;14;7;2;96;3;0;11;1
25456.sol;Router;swapStorage;7;0,42857142857142855;0,2857142857142857;0,14285714285714285;0,0;0,0;9,5;0,0;3,8;0,14285714285714285;32,6;0,0;1,1428571428571428;0,0;0,0;0,8571428571428571;0,14285714285714285;4,428571428571429;12;5;1;69;8;0;17;2
25456.sol;Authorized;Authorized;5;0,2;0,4;0,0;0,0;0,0;7,333333333333333;0,0;5,0;0,2;29,0;0,0;0,6;0,0;0,0;0,8;0,2;4,0;10;7;1;48;3;0;5;1
25456.sol;Router;nameSuccessor;10;0,2;0,3;0,1;0,0;0,0;10,285714285714286;0,0;3,5;0,1;43,75;0,0;0,7;0,2;0,0;1,0;0,1;4,2;14;5;1;93;7;2;17;2
25456.sol;Router;setStorage;10;0,2;0,3;0,1;0,0;0,0;10,714285714285714;0,0;3,5;0,1;44,25;0,0;0,7;0,2;0,0;1,0;0,1;4,2;16;5;1;92;7;2;19;2
25456.sol;CodeTricks;getCodeHash;5;0,0;0,4;0,0;0,0;0,0;7,0;0,0;5,333333333333333;0,4;39,666666666666664;0,0;0,6;0,0;0,0;2,0;0,0;4,8;9;8;2;73;3;0;11;1
25456.sol;Router;Router;13;0,3076923076923077;0,23076923076923078;0,07692307692307693;0,0;0,0;12,11111111111111;0,0;4,0;0,07692307692307693;42,166666666666664;0,0;0,6923076923076923;0,3076923076923077;0,0;1,0769230769230769;0,0;4,846153846153846;16;5;1;89;9;4;28;2
25456.sol;Router;setSecondaryStorage;10;0,2;0,3;0,1;0,0;0,0;10,714285714285714;0,0;3,5;0,1;46,5;0,0;0,7;0,2;0,0;1,0;0,1;4,2;16;5;1;101;7;2;19;2
25456.sol;CodeTricks;getCode;18;0,1111111111111111;0,1111111111111111;0,5555555555555556;0,0;0,0;4,681818181818182;0,0;9,090909090909092;0,1111111111111111;34,81818181818182;0,0;1,2222222222222223;0,05555555555555555;0,0;1,6666666666666667;0,0;10,61111111111111;11;12;2;79;22;1;29;5
25456.sol;Authorized;toggleAuthorization;12;0,25;0,3333333333333333;0,16666666666666666;0,0;0,16666666666666666;9,3;0,08333333333333333;6,666666666666667;0,08333333333333333;62,666666666666664;0,0;1,6666666666666667;0,0;0,0;0,8333333333333334;0,16666666666666666;6,25;14;11;1;119;20;0;21;5
