Solidity-File;Contract-Name;Function-Name;SLOC;Avg-Assignment;Avg-blank-lines;Avg-commas;Avg-comments;Avg-comparisons;Avg-Identifiers-Length;Avg-conditionals;Avg-indentation-length;Avg-keywords;Avg-line-length;Avg-loops;Avg-number-of-identifiers;Avg-numbers;Avg-operators;Avg-parenthesis;Avg-periods;Avg-spaces;Max-Identifiers-Length;Max-indentation;Max-keywords;Max-line-length;Max-number-of-identifiers;Max-numbers;Max-char;Max-words
4617.sol;Proxy;();14;0,14285714285714285;0,0;0,9285714285714286;0,0;0,0;9,235294117647058;0,0;8,923076923076923;0,14285714285714285;34,38461538461539;0,0;1,2142857142857142;0,7857142857142857;0,0;2,4285714285714284;0,0;10,714285714285714;14;12;2;87;17;11;42;3
4617.sol;ProxyFactory;createProxy;12;0,08333333333333333;0,0;0,8333333333333334;0,0;0,08333333333333333;5,214285714285714;0,08333333333333333;8,363636363636363;0,08333333333333333;31,09090909090909;0,0;1,1666666666666667;0,6666666666666666;0,0;2,1666666666666665;0,08333333333333333;11,0;13;16;1;98;14;8;18;3
4617.sol;Proxy;implementation;7;0,0;0,0;0,0;0,0;0,0;10,0;0,0;6,285714285714286;0,2857142857142857;16,571428571428573;0,0;0,14285714285714285;0,0;0,0;0,8571428571428571;0,0;6,714285714285714;10;8;2;29;1;0;7;1
4617.sol;Proxy;proxyType;7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,285714285714286;0,2857142857142857;14,571428571428571;0,0;0,0;0,2857142857142857;0,0;0,8571428571428571;0,0;6,714285714285714;0;8;2;25;0;2;6;0
